iter	Passed	Remaining
911	1585	153
912	1587	151
913	1589	149
914	1590	147
915	1592	146
916	1594	144
917	1595	142
918	1597	140
919	1599	139
920	1601	137
921	1602	135
922	1604	133
923	1605	132
924	1607	130
925	1609	128
926	1610	126
927	1612	125
928	1614	123
929	1615	121
930	1617	119
931	1618	118
932	1620	116
933	1622	114
934	1623	112
935	1625	111
936	1627	109
937	1629	107
938	1630	105
939	1632	104
940	1634	102
941	1635	100
942	1637	98
943	1639	97
944	1640	95
945	1642	93
946	1643	91
947	1645	90
948	1647	88
949	1648	86
950	1650	85
951	1652	83
952	1653	81
953	1655	79
954	1657	78
955	1658	76
956	1660	74
957	1662	72
958	1663	71
959	1665	69
960	1667	67
961	1669	65
962	1671	64
963	1672	62
964	1674	60
965	1676	59
966	1678	57
967	1679	55
968	1681	53
969	1682	52
970	1684	50
971	1686	48
972	1687	46
973	1689	45
974	1691	43
975	1692	41
976	1694	39
977	1696	38
978	1697	36
979	1699	34
980	1701	32
981	1703	31
982	1704	29
983	1706	27
984	1708	26
985	1709	24
986	1711	22
987	1713	20
988	1714	19
989	1716	17
990	1718	15
991	1719	13
992	1721	12
993	1723	10
994	1724	8
995	1726	6
996	1728	5
997	1729	3
998	1731	1
999	1732	0
