,Snow Depth,target,Temp,Precipitation,Precip Amount,Luftfuktighet
266,0.09,0.1,-9.1,snowfall,0.0011,79.065248381965
267,0.09,0.1,-9.1,snowfall,0.0011,79.065248381965
268,0.1,0.1,-13.2,snowfall,0.001,79.065248381965
269,0.1,0.1,-9.9,snowfall,0.0002,79.065248381965
270,0.1,0.1,-9.9,snowfall,0.0002,79.065248381965
271,0.1,0.09,-7.0,none,0.0,79.065248381965
272,0.09,0.07,-3.9,none,0.0,79.065248381965
273,0.07,0.05,1.2,none,0.0,79.065248381965
274,0.05,0.04,-0.8,snowfall,0.0017,79.065248381965
275,0.05,0.04,-0.8,snowfall,0.0017,79.065248381965
276,0.04,0.12,-6.9,snowfall,0.013000000000000001,79.065248381965
277,0.04,0.12,-6.9,snowfall,0.013000000000000001,79.065248381965
278,0.12,0.12,-5.6,snowfall,0.0011,79.065248381965
279,0.12,0.12,-5.6,snowfall,0.0011,79.065248381965
280,0.12,0.13,-4.9,snowfall,0.0024,79.065248381965
281,0.13,0.12,0.4,snowfall,0.0014,79.065248381965
282,0.13,0.12,0.4,regn,0.0014,79.065248381965
283,0.13,0.12,0.4,regn,0.0014,79.065248381965
284,0.12,0.05,0.7,none,0.0,79.065248381965
285,0.05,0.0,0.2,none,0.0,79.065248381965
286,0.0,0.0,0.5,duggregn,0.0004,79.065248381965
287,0.0,0.0,0.5,duggregn,0.0004,79.065248381965
288,0.0,0.0,0.9,snöblandat regn,0.0047,79.065248381965
289,0.0,0.0,0.9,snöblandat regn,0.0047,79.065248381965
290,0.0,0.0,0.9,snowfall,0.0047,79.065248381965
291,0.0,0.02,0.7,snowfall,0.0031000000000000003,79.065248381965
292,0.0,0.02,0.7,regn,0.0031000000000000003,79.065248381965
293,0.0,0.02,0.7,regn,0.0031000000000000003,79.065248381965
294,0.02,0.03,-1.6,snowfall,0.0009000000000000001,79.065248381965
295,0.02,0.03,-1.6,snowfall,0.0009000000000000001,79.065248381965
296,0.03,0.03,-5.4,snowfall,0.0014,79.065248381965
297,0.03,0.03,-5.4,snowfall,0.0014,79.065248381965
298,0.03,0.03,-7.9,none,0.0,79.065248381965
299,0.03,0.03,-10.6,none,0.0,79.065248381965
300,0.03,0.03,-1.8,snowfall,0.0009000000000000001,79.065248381965
301,0.03,0.03,-1.8,snowfall,0.0009000000000000001,79.065248381965
302,0.03,0.06,-2.2,snowfall,0.0028,79.065248381965
303,0.03,0.06,-2.2,snowfall,0.0028,79.065248381965
304,0.06,0.06,-2.1,snowfall,0.0007,79.065248381965
305,0.06,0.06,-2.1,snowfall,0.0007,79.065248381965
306,0.06,0.07,-6.5,regn,0.0016,79.065248381965
307,0.07,0.07,-1.8,regn,0.0014,79.065248381965
308,0.07,0.07,-1.8,regn,0.0014,79.065248381965
309,0.07,0.05,-1.6,regn,0.0012,79.065248381965
310,0.05,0.08,4.3,regn,0.0007,79.065248381965
311,0.05,0.08,4.3,duggregn,0.0007,79.065248381965
312,0.05,0.08,4.3,regn,0.0007,79.065248381965
313,0.08,0.05,-1.0,regn,0.0004,79.065248381965
314,0.05,0.04,1.2,regn,0.0002,79.065248381965
315,0.05,0.04,1.2,snowfall,0.0002,79.065248381965
316,0.04,0.04,-3.3,snowfall,0.0,79.065248381965
317,0.04,0.0,-4.1,snowfall,0.0018000000000000002,79.065248381965
318,0.04,0.0,-4.1,snowfall,0.0018000000000000002,79.065248381965
319,0.04,0.0,-4.1,regn,0.0018000000000000002,79.065248381965
320,0.0,0.04,2.8,regn,0.0,79.065248381965
321,0.04,0.05,-1.9,snowfall,0.0067,79.065248381965
322,0.04,0.05,-1.9,regn,0.0067,79.065248381965
323,0.04,0.05,-1.9,snowfall,0.0067,79.065248381965
324,0.05,0.05,-2.2,snowfall,0.0004,79.065248381965
325,0.05,0.05,-2.2,snowfall,0.0004,79.065248381965
326,0.05,0.05,-6.1,none,0.0,79.065248381965
327,0.05,0.05,-7.4,none,0.0,79.065248381965
328,0.05,0.05,-9.4,none,0.0,79.065248381965
329,0.05,0.05,-9.4,snowfall,0.0015,79.065248381965
330,0.05,0.05,-2.2,snowfall,0.0,79.065248381965
331,0.05,0.05,-1.2,regn,0.0015,79.065248381965
332,0.05,0.05,-1.2,regn,0.0015,79.065248381965
333,0.05,0.06,-0.7,regn,0.0017,79.065248381965
334,0.05,0.06,-0.7,snowfall,0.0017,79.065248381965
335,0.06,0.06,-2.6,snowfall,0.0,79.065248381965
336,0.06,0.06,-3.0,snowfall,0.0002,79.065248381965
337,0.06,0.06,-2.5,snowfall,0.0006,79.065248381965
338,0.06,0.06,-2.5,snowfall,0.0006,79.065248381965
339,0.06,0.06,-3.1,snowfall,0.0001,79.065248381965
340,0.06,0.06,-3.1,snowfall,0.0001,79.065248381965
341,0.06,0.06,-5.1,snowfall,0.0002,79.065248381965
342,0.06,0.06,-5.1,snowfall,0.0002,79.065248381965
343,0.06,0.06,-7.5,none,0.0,79.065248381965
344,0.06,0.06,-3.9,snowfall,0.0003,79.065248381965
345,0.06,0.06,-3.9,snowfall,0.0003,79.065248381965
346,0.06,0.06,-6.8,none,0.0,79.065248381965
347,0.06,0.06,-7.6,none,0.0,79.065248381965
348,0.06,0.06,-7.0,none,0.0,79.065248381965
349,0.06,0.06,-10.0,none,0.0,79.065248381965
350,0.06,0.06,-7.9,snowfall,0.0006,79.065248381965
351,0.06,0.06,-7.9,snowfall,0.0006,79.065248381965
352,0.06,0.1,-8.1,snowfall,0.0025,79.065248381965
353,0.06,0.1,-8.1,snowfall,0.0025,79.065248381965
354,0.1,0.1,-6.7,regn,0.0011,79.065248381965
355,0.1,0.1,-1.1,regn,0.0,79.065248381965
356,0.1,0.1,-0.5,none,0.0,79.065248381965
357,0.1,0.1,-1.0,none,0.0,79.065248381965
358,0.1,0.1,-1.1,snowfall,0.0004,79.065248381965
359,0.1,0.1,-1.1,snowfall,0.0004,79.065248381965
360,0.1,0.1,-3.2,none,0.0,79.065248381965
361,0.1,0.1,-4.8,none,0.0,79.065248381965
